GENUS,SPECIES,MORPHOLOGY,MORPHOLOGY_CODE,METHOD,EXTENSION_CM_YR_RANGE,EXTENSION_CM_YR_MEAN,EXTENSION_CM_YR_SE,EXTENSION_STUDY_N,DENSITY_G_CM3_RANGE,DENSITY_G_CM3_MEDIAN/MEAN,DENSITY_G_CM3_SE,DENSITY_STUDY_N,REEF_ZONE,DEPTH_M,STUDY_REGION,STUDY_SITE,REGION_OCEAN,YEAR,REFERENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goniopora,spp,mounding,MD,X-radiography,0.47-2.16,1.110,0.03,119,,,,,,5,Australia,"Pandora, Havannah Reef",Great Barrier Reef,2010,"Stopnitzky, S (2010) Millenial-scale record of Goniopora spp. coral growth rates from the inshore Great Barrier Reef reveals a long-term decline and recent recovery trajectory. Honours Thesis, University of Queensland. Available at http://shaneestopnitzky.weebly.com/uploads/1/0/3/6/1036603/stopnitzky_2010_-_honours_thesis.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heliopora,coerulea,branching,BR,linear extension,,0.860,0.05,,,2.010,0.06,,,3,Phillipines,Silaqui Island,Southeast Asia,2021,"Courtney, T.A., Guest, J.R., Edwards, A.J. et al. Linear extension, skeletal density, and calcification rates of the blue coral Heliopora coerulea. Coral Reefs (2021).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Herpolitha,limax,free-living,FR,external growth bands; expansion,,1.000,,1,,,,,fringing reef,8,Marshall Islands,"Enewetak Atoll, Biken Island",Central Pacific,1974,"Buddemeier R, Maragos J, Knutson D (1974) Radiographic studies of reef coral exoskeletons: rates and patterns of coral growth. J Exp … 14. Available: http://www.sciencedirect.com/science/article/pii/0022098174900240. Accessed 9 December 2014.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydnophora ,microconos,mounding,MD,external growth bands; expansion,,1.150,,1,,,,,fringing reef,5,Marshall Islands,"Enewetak Atoll, Biken Island",Central Pacific,1974,"Buddemeier R, Maragos J, Knutson D (1974) Radiographic studies of reef coral exoskeletons: rates and patterns of coral growth. J Exp … 14. Available: http://www.sciencedirect.com/science/article/pii/0022098174900240. Accessed 9 December 2014.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isopora,palifera,branching,BR,Alizarin Red stain,,1.640,0.35,,,1.660,0.03,,,5,Australia,Lizard Island,Great Barrier Reef,2017,"Anderson, K. D., Cantin, N. E., Heron, S. F., Pisapia, C., & Pratchett, M. S. (2017). Variation in growth rates of branching corals along Australia’s Great Barrier Reef. Scientific reports, 7(1), 1-13.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isopora,palifera,branching,BR,Alizarin Red stain,,1.580,0.36,,,1.530,0.02,,,5,Australia,"Davies Reef, Great Barrier Reef",Great Barrier Reef,2017,"Anderson, K. D., Cantin, N. E., Heron, S. F., Pisapia, C., & Pratchett, M. S. (2017). Variation in growth rates of branching corals along Australia’s Great Barrier Reef. Scientific reports, 7(1), 1-13.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isopora,palifera,branching,BR,Alizarin Red stain,,1.430,0.36,,,1.670,0.03,,,5,Australia,Heron Island,Great Barrier Reef,2017,"Anderson, K. D., Cantin, N. E., Heron, S. F., Pisapia, C., & Pratchett, M. S. (2017). Variation in growth rates of branching corals along Australia’s Great Barrier Reef. Scientific reports, 7(1), 1-13.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leptoseris,gardineri,foliose,FO,Alizarin Red stain,,1.968,0.336,,,,,,,,Guam,Atra bay,Western Pacific,1987,"Plucer-Rosario G, Randall R (1987) Preservation of rare coral species by transplantation and examination of their recruitment and growth. Bull Mar Sci 41: 585–593. Available: http://www.ingentaconnect.com/content/umrsmas/bullmar/1987/00000041/00000002/art00043. Accessed 9 December 2014.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Millepora,spp,branching,BR,external growth bands; expansion,,,,,,1.510,,,,,Marshall Islands,"Enewetak Atoll, Biken Island",Central Pacific,1955,"Odum, H. T., & Odum, E. P. (1955). Trophic structure and productivity of a windward coral reef community on Eniwetok Atoll. Ecological monographs, 25(3), 291-320.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Millepora,tenera,branching,BR,X-radiography,0.9-4.0,1.850,0.73,34,,,,,lagoon,,Pacific Remote Islands,Johnston Atoll,Central Pacific,1992,"Jokiel, P., & Tyler, W. (1992). Distribution of stony corals in Johnston Atoll lagoon. Proceedings of the 7th International Coral Reef Symposium, 2, 638–692.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montipora,digitata,branching,BR,Alizarin Red stain,,3.050,,,,,,,,,Australia,Australia,Great Barrier Reef,1985,"Heyward, A.J. & Collins, J.D. (1985). Growth and sexual reproduction in the scleractinian coral Montipora digitata (Dana). Marine and Freshwater Research 36, 441–446.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montipora,verrucosa,branching,BR,Alizarin Red stain,,3.183,0.093,15,,,,,,1.7-8.3,Hawaii,"Coconut Island, Oahu",Central Pacific,1999,"Grottoli A. G (1999) Variability of stable isotopes and maximum linear extension in reef-coral skeletons at Kaneohe Bay, Hawaii. Mar Biol 135: 437–449. Available: http://link.springer.com/10.1007/s002270050644.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montipora,incrassata,branching,BR,external growth bands; expansion,,2.100,,,,,,,,,Hawaii,"Coconut Island, Oahu",Central Pacific,1992,"Jokiel, P., & Tyler, W. (1992). Distribution of stony corals in Johnston Atoll lagoon. Proceedings of the 7th International Coral Reef Symposium, 2, 638–692.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montipora,capitata,branching,BR,linear extension,,4.270,,,,,,,,8.3,Hawaii,"Coconut Island, Oahu",Central Pacific,1999,"Grottoli A. G (1999) Variability of stable isotopes and maximum linear extension in reef-coral skeletons at Kaneohe Bay, Hawaii. Mar Biol 135: 437–449. Available: http://link.springer.com/10.1007/s002270050644.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montipora,capitata,branching,BR,diameter,,3.600,,,,,,,,,Hawaii,"Kaneohe Bay, Oahu",Central Pacific,1986,"Holthus, P.F. (1986) Coral reef communities of Kaneohe Bay: an overview. 19-34. Coral reef population biology. Hawaii Inst. Mar. Biol. Tech Rep. 37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montipora,capitata,branching,BR,linear extension,,2.920,,,,,,,,2,Hawaii,"Coconut Island, Oahu",Central Pacific,1986,Cox E (1986) The effects of a selective corallivore on growth rates and competition for space between two species of Hawaiian corals. J Exp Mar Bio Ecol 101: 161–174. Available: http://www.sciencedirect.com/science/article/pii/002209818690047X. Accessed 10 December 2014.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montipora,capitata,branching,BR,linear extension,,2.829,,,,,,,fringing reef,1,Hawaii,"Kaneohe Bay, Oahu",Central Pacific,2020,"Barnhill, K.A. et al. (2020). Acclimatization Drives Differences in Reef-Building Coral Calcification Rates. Diversity.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montipora,capitata,branching,BR,linear extension,,2.520,,,,,,,,1.7,Hawaii,"Coconut Island, Oahu",Central Pacific,1999,"Grottoli A. G (1999) Variability of stable isotopes and maximum linear extension in reef-coral skeletons at Kaneohe Bay, Hawaii. Mar Biol 135: 437–449. Available: http://link.springer.com/10.1007/s002270050644.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montipora,capitata,branching,BR,linear extension,,2.520,,,,,,,,5,Hawaii,"Coconut Island, Oahu",Central Pacific,1999,"Grottoli A. G (1999) Variability of stable isotopes and maximum linear extension in reef-coral skeletons at Kaneohe Bay, Hawaii. Mar Biol 135: 437–449. Available: http://link.springer.com/10.1007/s002270050644.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montipora,capitata,branching,BR,linear extension,,2.430,,,,,,10,patch reef,,Hawaii,"Kaneohe Bay, Oahu",Central Pacific,2003,"Rodgers, K., Cox, E., & Newtson, C. (2003). Effects of Mechanical Fracturing and Experimental Trampling on Hawaiian Corals. Environmental Management, 31(3), 377.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montipora,capitata,branching,BR,external growth bands; expansion,,2.300,,,,,,,,,USA,Hawaii,Central Pacific,1992,"Jokiel, P., & Tyler, W. (1992). Distribution of stony corals in Johnston Atoll lagoon. Proceedings of the 7th International Coral Reef Symposium, 2, 638–692.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montipora,capitata,branching,BR,linear extension,.036-2.92,1.478,,,,,,,,2,Hawaii,"Coconut Island, Oahu",Central Pacific,1986,Cox E (1986) The effects of a selective corallivore on growth rates and competition for space between two species of Hawaiian corals. J Exp Mar Bio Ecol 101: 161–174. Available: http://www.sciencedirect.com/science/article/pii/002209818690047X. Accessed 10 December 2014.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montipora,capitata,branching,BR,external growth bands; expansion,,1.400,,,,,,,,,USA,Hawaii,Central Pacific,1992,"Jokiel, P., & Tyler, W. (1992). Distribution of stony corals in Johnston Atoll lagoon. Proceedings of the 7th International Coral Reef Symposium, 2, 638–692.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montipora,capitata,branching,BR,external growth bands; expansion,,1.130,,,,,,,,,USA,Hawaii,Central Pacific,1992,"Jokiel, P., & Tyler, W. (1992). Distribution of stony corals in Johnston Atoll lagoon. Proceedings of the 7th International Coral Reef Symposium, 2, 638–692.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montipora,patula,encrusting-mounding,EM,external growth bands; expansion,0.6-2.2,1.720,0.36,89,,,,,lagoon,,Pacific Remote Islands,Johnston Atoll,Central Pacific,1992,"Jokiel, P., & Tyler, W. (1992). Distribution of stony corals in Johnston Atoll lagoon. Proceedings of the 7th International Coral Reef Symposium, 2, 638–692.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montipora,patula,encrusting-mounding,EM,external growth bands; expansion,1.2-2.2,1.530,0.21,7,,,,,lagoon,,USA,Hawaii,Central Pacific,1992,"Jokiel, P., & Tyler, W. (1992). Distribution of stony corals in Johnston Atoll lagoon. Proceedings of the 7th International Coral Reef Symposium, 2, 638–692.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montipora,verrucosa,encrusting-mounding,EM,external growth bands; expansion,1.0-1.2,1.130,0.11,3,,,,,lagoon,,USA,Hawaii,Central Pacific,1992,"Jokiel, P., & Tyler, W. (1992). Distribution of stony corals in Johnston Atoll lagoon. Proceedings of the 7th International Coral Reef Symposium, 2, 638–692.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montipora,verrucosa,encrusting-mounding,EM,external growth bands; expansion,1.4-3.0,2.300,,3,,,,,lagoon,,USA,Hawaii,Central Pacific,1958,"Ma TYH (1958) The relation of growth rate of reef corals to surface temperature of sea water as a basis for study of causes of disastrophisms instigating evolution of life. World Book Co, LTD, Taipei, Taiwan. IN Jokiel and Tyler (1992)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montipora,verrucosa,encrusting-mounding,EM,linear extension,,1.400,,1,,,,,,,Hawaii,"Waikiki Reef, Oahu",Central Pacific,1929,"Edmondson, C.H. (1929). Growth of Hawaiian corals. Bishop Museum Bulletins 58, 1–38.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montipora,spp,encrusting-mounding,EM,diameter,,1.085,1.595,17,,,,,lagoon,2-3,Marshall Islands,"Enewetak Atoll, Biken Island",Central Pacific,1985,"Stimson, J. (1985). The Effect of Shading by the Table Coral Acropora Hyacinthus on Understory Corals. Ecology, 66(1), 40–53. https://doi.org/10.2307/1941305",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montipora,verrucosa,plating,PL,linear extension,,2.920,,5,,,,,,,Hawaii,"Coconut Island, Oahu",Central Pacific,1986,Cox E (1986) The effects of a selective corallivore on growth rates and competition for space between two species of Hawaiian corals. J Exp Mar Bio Ecol 101: 161–174. Available: http://www.sciencedirect.com/science/article/pii/002209818690047X. Accessed 10 December 2014.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montipora,verrucosa,plating,PL,linear extension,,1.640,,8,,,,,,2,Hawaii,"Kaneohe Bay, Oahu",Central Pacific,1986,Cox E (1986) The effects of a selective corallivore on growth rates and competition for space between two species of Hawaiian corals. J Exp Mar Bio Ecol 101: 161–174. Available: http://www.sciencedirect.com/science/article/pii/002209818690047X. Accessed 10 December 2014.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montipora,verrucosa,plating,PL,linear extension,,4.200,1.3,6,,,,,,3-7,Hawaii,"Coconut Island, Oahu",Central Pacific,1996,"Stimson, J. (1996). Wave-like outward growth or some table and plate-forming corals, and a hypothetical mechanism. Bulletin of Marine Science , 58 (1), 301-313.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montipora,foliosa,plating,PL,Alizarin Red stain,,1.188,0.552,,,,,,,,Guam,Atra bay,Western Pacific,1987,"Plucer-Rosario G, Randall R (1987) Preservation of rare coral species by transplantation and examination of their recruitment and growth. Bull Mar Sci 41: 585–593. Available: http://www.ingentaconnect.com/content/umrsmas/bullmar/1987/00000041/00000002/art00043. Accessed 9 December 2014.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montipora,aequituberculata,foliose,FO,Alizarin Red stain,0.5-5.8,2.880,0.3,26,0.7-1.3,0.940,0.04,16,patch reef,3,Australia,"Middle Reef, Cleveland bay",Great Barrier Reef,2012,"Browne, N. K. (2012). Spatial and temporal variations in coral growth on an inshore turbid reef subjected to multiple disturbances. Marine Environmental Research, 77, 71–83. https://doi.org/10.1016/j.marenvres.2012.02.005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oulophyllia,crispa,mounding,MD,X-radiography,,2.100,0.1,2,,,,,fringing reef,6.5-7,Marshall Islands,"Enewetak Atoll, Biken Island",Central Pacific,1974,"Buddemeier R, Maragos J, Knutson D (1974) Radiographic studies of reef coral exoskeletons: rates and patterns of coral growth. J Exp … 14. Available: http://www.sciencedirect.com/science/article/pii/0022098174900240. Accessed 9 December 2014.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pavona,duerdeni,mounding,MD,X-radiography,,1.040,,,,,,,,,Pacific Remote Islands,Kure Atoll,Central Pacific,ND,"Potts, D., Budd, A., & Garthwaite, R. (n.d.). Soft tissue vs. Skeletal recognition and phylogeny reconstruction in corals. Cour. FourschungInst. Senckenb, 164, 221–231.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pavona,duerdeni,mounding,MD,X-radiography,0.6-1.1,0.860,0.18,20,,,,,lagoon,,Pacific Remote Islands,Johnston Atoll,Central Pacific,1929,"Edmondson, C.H. (1929). Growth of Hawaiian corals. Bishop Museum Bulletins 58, 1–38.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pavona,duerdeni,mounding,MD,external growth bands; expansion,1-1.4,1.180,0.17,14,,,,,lagoon,,Pacific Remote Islands,Johnston Atoll,Central Pacific,1992,"Jokiel, P., & Tyler, W. (1992). Distribution of stony corals in Johnston Atoll lagoon. Proceedings of the 7th International Coral Reef Symposium, 2, 638–692.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pavona,duerdeni,mounding,MD,external growth bands; expansion,1-1.5,1.250,0.25,9,,,,,lagoon,,USA,Hawaii,Central Pacific,1992,"Jokiel, P., & Tyler, W. (1992). Distribution of stony corals in Johnston Atoll lagoon. Proceedings of the 7th International Coral Reef Symposium, 2, 638–692.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pavona,maldivensis,columnar,CO,external growth bands; expansion,0.5-1.8,1.205,0.148,7,,,,,lagoon,,Pacific Remote Islands,Johnston Atoll,Central Pacific,1992,"Jokiel, P., & Tyler, W. (1992). Distribution of stony corals in Johnston Atoll lagoon. Proceedings of the 7th International Coral Reef Symposium, 2, 638–692.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pavona,varians,encrusting-mounding,EM,external growth bands; expansion,1.2-2.2,1.510,0.32,11,,,,,lagoon,,USA,Hawaii,Central Pacific,1992,"Jokiel, P., & Tyler, W. (1992). Distribution of stony corals in Johnston Atoll lagoon. Proceedings of the 7th International Coral Reef Symposium, 2, 638–692.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pavona,cactus,foliose,FO,Alizarin Red stain,,2.076,0.744,32,,,,,,,Guam,Atra bay,Western Pacific,1987,"Plucer-Rosario G, Randall R (1987) Preservation of rare coral species by transplantation and examination of their recruitment and growth. Bull Mar Sci 41: 585–593. Available: http://www.ingentaconnect.com/content/umrsmas/bullmar/1987/00000041/00000002/art00043. Accessed 9 December 2014.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Platygyra,daedalea,mounding,MD,X-radiography,,2.200,0.1,,,,,,reef flat,2-5,Kiribati,"Fanning Island, Suez Pond",Central Pacific,1972,"Knutson, D.W., Buddemeier, R.W. & Smith, S.V. (1972). Coral chronometers: seasonal growth bands in reef corals. Science 177, 270–272.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Platygyra,lamellina,mounding,MD,X-radiography,0.5-0.8,0.708,0.118,3,,,,,fringing reef,7,Marshall Islands,"Enewetak Atoll, Biken Island",Central Pacific,1974,"Buddemeier R, Maragos J, Knutson D (1974) Radiographic studies of reef coral exoskeletons: rates and patterns of coral growth. J Exp … 14. Available: http://www.sciencedirect.com/science/article/pii/0022098174900240. Accessed 9 December 2014.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Platygyra,sinensis,mounding,MD,X-radiography,0.31-1.09,0.640,0.11,19,,,,,fringing reef,1-2,Australia,Magnetic Island,Great Barrier Reef,1988,"Babcock R (1988) Age-structure, survivorship and fecundity in populations of massive corals. Proc 6th int coral Reef Symp.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Platygyra,sinensis,mounding,MD,X-radiography,0.21-1.27,0.680,0.16,19,,,,,fringing reef,1-2,Australia,Orpheus Island,Great Barrier Reef,1988,"Babcock R (1988) Age-structure, survivorship and fecundity in populations of massive corals. Proc 6th int coral Reef Symp.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Platygyra,spp,mounding,MD,X-radiography,,0.780,,1,,,,,reef flat,8,USA,American samoa,Central Pacific,1974,"Weber J, White E (1974) Activation energy for skeletal aragonite deposited by the hermatypic coral Platygyra spp. Mar Biol 359: 353–359. Available: http://link.springer.com/article/10.1007/BF00391518. Accessed 9 December 2014.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Platygyra,spp,mounding,MD,X-radiography,,0.630,,1,,,,,reef flat,8,Australia,Carter reef,Great Barrier Reef,1974,"Weber J, White E (1974) Activation energy for skeletal aragonite deposited by the hermatypic coral Platygyra spp. Mar Biol 359: 353–359. Available: http://link.springer.com/article/10.1007/BF00391518. Accessed 9 December 2014.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Platygyra,spp,mounding,MD,X-radiography,,0.490,0.076,5,,,,,reef flat,8,Australia,Heron Island,Great Barrier Reef,1974,"Weber J, White E (1974) Activation energy for skeletal aragonite deposited by the hermatypic coral Platygyra spp. Mar Biol 359: 353–359. Available: http://link.springer.com/article/10.1007/BF00391518. Accessed 9 December 2014.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Platygyra,spp,mounding,MD,X-radiography,,0.940,0.26,6,,,,,reef flat,8,Mariana Islands,Saipan,South Pacific,1974,"Weber J, White E (1974) Activation energy for skeletal aragonite deposited by the hermatypic coral Platygyra spp. Mar Biol 359: 353–359. Available: http://link.springer.com/article/10.1007/BF00391518. Accessed 9 December 2014.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Platygyra,spp,mounding,MD,X-radiography,,0.830,0.11,9,,,,,reef flat,8,Fiji,Viti levu,South Pacific,1974,"Weber J, White E (1974) Activation energy for skeletal aragonite deposited by the hermatypic coral Platygyra spp. Mar Biol 359: 353–359. Available: http://link.springer.com/article/10.1007/BF00391518. Accessed 9 December 2014.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Platygyra,spp,mounding,MD,X-radiography,0.54-0.9,1.030,,2,,,,,reef flat,8,Papua New Guinea,Rabaul,Western Pacific,1974,"Weber J, White E (1974) Activation energy for skeletal aragonite deposited by the hermatypic coral Platygyra spp. Mar Biol 359: 353–359. Available: http://link.springer.com/article/10.1007/BF00391518. Accessed 9 December 2014.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Platygyra,spp,mounding,MD,X-radiography,,1.000,0.36,3,,,,,reef flat,8,Solomon Islands,Guadacanal,Western Pacific,1974,"Weber J, White E (1974) Activation energy for skeletal aragonite deposited by the hermatypic coral Platygyra spp. Mar Biol 359: 353–359. Available: http://link.springer.com/article/10.1007/BF00391518. Accessed 9 December 2014.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Platygyra,spp,mounding,MD,X-radiography,,0.910,0.14,4,,,,,reef flat,8,Palau,Koror,Western Pacific,1974,"Weber J, White E (1974) Activation energy for skeletal aragonite deposited by the hermatypic coral Platygyra spp. Mar Biol 359: 353–359. Available: http://link.springer.com/article/10.1007/BF00391518. Accessed 9 December 2014.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Platygyra,spp,mounding,MD,X-radiography,,1.200,,2,,,,,reef flat,8,Caroline Islands,Yap,Western Pacific,1974,"Weber J, White E (1974) Activation energy for skeletal aragonite deposited by the hermatypic coral Platygyra spp. Mar Biol 359: 353–359. Available: http://link.springer.com/article/10.1007/BF00391518. Accessed 9 December 2014.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Platygyra,spp,mounding,MD,X-radiography,,1.020,0.27,4,,,,,reef flat,8,Solomon Islands,Buka,Western Pacific,1974,"Weber J, White E (1974) Activation energy for skeletal aragonite deposited by the hermatypic coral Platygyra spp. Mar Biol 359: 353–359. Available: http://link.springer.com/article/10.1007/BF00391518. Accessed 9 December 2014.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Platygyra,spp,mounding,MD,X-radiography,12,1.040,0.17,6,,,,,reef flat,8,Papua New Guinea,Moresby,Western Pacific,1974,"Weber J, White E (1974) Activation energy for skeletal aragonite deposited by the hermatypic coral Platygyra spp. Mar Biol 359: 353–359. Available: http://link.springer.com/article/10.1007/BF00391518. Accessed 9 December 2014.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Platygyra,spp,mounding,MD,X-radiography,8,0.770,,1,,,,,reef flat,8,Tarawa Atoll,,Western Pacific,1974,"Weber J, White E (1974) Activation energy for skeletal aragonite deposited by the hermatypic coral Platygyra spp. Mar Biol 359: 353–359. Available: http://link.springer.com/article/10.1007/BF00391518. Accessed 9 December 2014.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Platygyra,spp,mounding,MD,X-radiography,,0.700,0.17,8,,,,,reef flat,8,New Caledonia,Noumea,Western Pacific,1974,"Weber J, White E (1974) Activation energy for skeletal aragonite deposited by the hermatypic coral Platygyra spp. Mar Biol 359: 353–359. Available: http://link.springer.com/article/10.1007/BF00391518. Accessed 9 December 2014.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Platygyra,spp,mounding,MD,X-radiography,,0.630,,1,,,,,reef flat,8,Tonga,,Western Pacific,1974,"Weber J, White E (1974) Activation energy for skeletal aragonite deposited by the hermatypic coral Platygyra spp. Mar Biol 359: 353–359. Available: http://link.springer.com/article/10.1007/BF00391518. Accessed 9 December 2014.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pocillopora,damicornis,branching,BR,diameter, ,1.320,2.28,10,,,,,lagoon,2-3,Marshall Islands,"Enewetak Atoll, Biken Island",Central Pacific,1985,"Stimson, J. (1985). The Effect of Shading by the Table Coral Acropora Hyacinthus on Understory Corals. Ecology, 66(1), 40–53. https://doi.org/10.2307/1941305",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pocillopora,damicornis,branching,BR,Alizarin Red stain,1.9-3.1,2.539,0.28,17,,,,,reef flat,1-3,Guam,Western Pacific,Western Pacific,1981,"Neudecker, S. (1981). Growth and survival of scleractinian corals exposed to thermal effluents at Guam. 4. International Coral Reef Symposium, Manila (Philippines), 18-22 May 1981. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pocillopora,damicornis,branching,BR,linear extension,0.13-3.33,1.388,1.166,6,,,,,,,Hawaii,"Waikiki Reef, Oahu",Central Pacific,1929,"Edmondson, C.H. (1929). Growth of Hawaiian corals. Bishop Museum Bulletins 58, 1–38.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pocillopora,damicornis,branching,BR,Alizarin Red stain,,2.200,0.17,,,1.220,0.03,,,5,Australia,Lizard Island,Great Barrier Reef,2017,"Anderson, K. D., Cantin, N. E., Heron, S. F., Pisapia, C., & Pratchett, M. S. (2017). Variation in growth rates of branching corals along Australia’s Great Barrier Reef. Scientific reports, 7(1), 1-13.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pocillopora,damicornis,branching,BR,Alizarin Red stain,,1.930,0.17,,,1.180,0.03,,,5,Australia,"Davies Reef, Great Barrier Reef",Great Barrier Reef,2017,"Anderson, K. D., Cantin, N. E., Heron, S. F., Pisapia, C., & Pratchett, M. S. (2017). Variation in growth rates of branching corals along Australia’s Great Barrier Reef. Scientific reports, 7(1), 1-13.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pocillopora,damicornis,branching,BR,Alizarin Red stain,,1.500,0.15,,,1.230,0.02,,,5,Australia,Heron Island,Great Barrier Reef,2017,"Anderson, K. D., Cantin, N. E., Heron, S. F., Pisapia, C., & Pratchett, M. S. (2017). Variation in growth rates of branching corals along Australia’s Great Barrier Reef. Scientific reports, 7(1), 1-13.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
